# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1872
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=14 d=1.37392 t=1745
wang 	往	c=1 d=1 t=773
wang ji 	忘記	c=0 d=0.102034 t=1282
wang xiao li 	王小利	c=2 d=1.98511 t=690
wang yi 	網易	c=1 d=1 t=652
wei 	未	c=0 d=0.1 t=228
wei 	爲	c=5 d=2.03243 t=1860
wei kong 	爲空	c=2 d=1.92534 t=316
wei sha 	爲啥	c=1 d=1 t=1304
wei shen me 	爲什麼	c=2 d=1.99501 t=1618
wei xin 	微信	c=5 d=1.11703 t=1619
wei xin shang hu ping tai 	微信商戶平臺	c=1 d=1 t=144
wei xin zhi fu 	微信支付	c=2 d=1.31506 t=479
wei zhi 	未知	c=1 d=1 t=231
wei zhi fu 	未支付	c=1 d=1 t=229
wei zhun 	爲準	c=1 d=1 t=1730
wen ben 	文本	c=1 d=1 t=565
wen bo 	文博	c=1 d=1 t=602
wen dang 	文檔	c=1 d=1 t=442
wen jian 	文件	c=10 d=2.58043 t=1152
wen jian shang chuan 	文件上傳	c=3 d=2.48305 t=609
wen jian shang chuan jie kou 	文件上傳接口	c=1 d=1 t=606
wen juan 	問卷	c=1 d=1 t=1674
wen ni 	問你	c=1 d=1 t=1342
wen ta 	問她	c=0 d=0.1 t=1753
wen ti 	問題	c=0 d=0.1 t=1274
wen wen 	問問	c=1 d=1 t=680
wen wo 	問我	c=1 d=1 t=1758
wen zi 	文字	c=0 d=0.1 t=746
wo 	我	c=5 d=1.24436 t=1872
wo bu hui sheng bing le 	我不會生病了	c=1 d=1 t=1414
wo bu zhi dao ni 	我不知道你	c=1 d=1 t=7
wo bu zhi dao ni hui bu hui zhe ge dao li 	我不知道你會不會這個道理	c=1 d=0.985112 t=1872
wo bu zhi dao zhe ge shi bu shi ni de shu ru fa 	我不知道這個是不是你的輸入法	c=1 d=1 t=94
wo cao 	卧槽	c=1 d=1 t=1317
wo fa xian 	我發現	c=1 d=1 t=491
wo fang 	我放	c=0 d=0.1 t=195
wo fang dao zhe li mian le 	我放到這裏面了	c=1 d=1 t=196
wo gai gai 	我該改	c=1 d=1 t=1095
wo gang 	我剛	c=1 d=1.02478 t=1498
wo gang kan wan 	我剛看完	c=1 d=1 t=1220
wo gao su ni 	我告訴你	c=1 d=1 t=811
wo gen ni shuo 	我跟你說	c=1 d=1 t=65
wo gen ni shuo zhe 	我跟你說着	c=1 d=1 t=49
wo huai yi 	我懷疑	c=1 d=1 t=1126
wo ji de 	我記得	c=1 d=1 t=1100
wo jia le yi ge 	我加了一個	c=1 d=1 t=441
wo jian dan 	我簡單	c=1 d=1 t=864
wo jian yi ge 	我建一個	c=1 d=1 t=69
wo jin tian 	我今天	c=2 d=1.39259 t=1590
wo jing li guo 	我經歷過	c=1 d=1 t=1240
wo jiu shi 	我就是	c=1 d=1 t=679
wo jue de 	我覺得	c=2 d=1.02055 t=1583
wo kan dao xin wen le 	我看到新聞了	c=1 d=1 t=681
wo kan kan 	我看看	c=1 d=1 t=20
wo mai gei ni 	我買給你	c=1 d=1 t=1451
wo men 	我們	c=3 d=1.29256 t=1297
wo neng 	我能	c=0 d=0.0985112 t=1872
wo shuo 	我說	c=2 d=1.24908 t=1762
wo wang ji le 	我忘記了	c=1 d=1 t=1283
wo xian jin 	我先進	c=1 d=1 t=53
wo ye mei zou guo 	我也沒走過	c=1 d=1 t=1493
wo yi qian 	我以前	c=1 d=1 t=785
wo yue shi 	我越是	c=1 d=1 t=1565
wo zai 	我再	c=1 d=1 t=385
wo zai gong si 	我在公司	c=1 d=1 t=583
wo zhe li 	我這裏	c=1 d=1 t=388
wo zhen bu yuan yi 	我真不願意	c=1 d=1 t=1746
wo zhu yao shi 	我主要是	c=1 d=1 t=861
wu fa 	無法	c=2 d=1.01708 t=1630
wu fen qian 	五分錢	c=3 d=2.97516 t=1024
wu qing 	武清	c=3 d=2.18601 t=1868
wu qing 	無情	c=1 d=1 t=549
xi gan jing 	洗乾淨	c=1 d=1 t=1440
xi huan 	喜歡	c=0 d=0.1 t=94
xi tong 	系統	c=3 d=1.23002 t=1660
xi tong jiang 	系統將	c=1 d=1 t=1661
xi wen 	希文	c=1 d=1 t=621
xia 	瞎	c=1 d=1.00047 t=1795
xia dan 	下單	c=3 d=3.03339 t=166
xia dan shi jian 	下单时间	c=1 d=1 t=225
xia ji ba 	瞎雞巴	c=1 d=1 t=723
xia mian de 	下面的	c=1 d=1 t=953
xia wu 	下午	c=0 d=0.1 t=1847
xia wu e le 	下午餓了	c=1 d=1 t=1848
xia yu le 	下雨了	c=1 d=1 t=1508
xia zai di zhi 	下載地址	c=1 d=1 t=308
xia zhou 	下週	c=2 d=1.89137 t=1390
xian 	先	c=1 d=1.03328 t=1204
xian cheng 	現成	c=1 d=1 t=390
xian jin 	先進	c=0 d=0.1 t=52
xian kan 	先看	c=1 d=1 t=1058
xian shi 	現實	c=0 d=0.1 t=1614
xian shi 	顯示	c=2 d=1.6942 t=407
xian shi bu xian shi 	現實不現實	c=1 d=1 t=1615
xian shi shi 	先試試	c=1 d=1 t=981
xian shi zai 	顯示在	c=1 d=1 t=321
xian zai 	現在	c=6 d=2.31745 t=1844
xiang 	想	c=2 d=0.401622 t=1812
xiang ban fa 	想辦法	c=0 d=0.1 t=996
xiang dang yu 	相當於	c=2 d=1.01649 t=1408
xiang guan 	相關	c=0 d=0.1 t=1359
xiang mu 	項目	c=2 d=0.318796 t=1490
xiang mu sha de 	項目啥的	c=1 d=1 t=1491
xiang mu shu ju 	項目數據	c=1 d=1 t=1192
xiang mu zhong 	項目中	c=1 d=1 t=1701
xiang ni 	像你	c=0 d=0.1 t=1166
xiang qing 	詳情	c=4 d=4.0694 t=477
xiang qing xin xi 	詳情信息	c=1 d=1 t=470
xiang ri kui 	向日葵	c=3 d=2.85781 t=850
xiang tong de 	相同的	c=1 d=1 t=1465
xiang xi xin xi 	詳細信息	c=1 d=1 t=241
xiang xiang 	想想	c=1 d=1 t=1431
xiang xiang ban fa ba 	想想辦法吧	c=1 d=1 t=997
xiao hai 	小孩	c=0 d=0.1 t=976
xiao lv 	效率	c=0 d=0.1 t=990
xiao lv bi jiao man 	效率比較慢	c=1 d=1 t=991
xiao xiao le 	消消樂	c=2 d=1.33622 t=1737
xie 	些	c=1 d=1 t=801
xie chu lai 	寫出來	c=0 d=0.0985112 t=1872
xie dai 	攜帶	c=1 d=1 t=355
xie de 	寫的	c=1 d=0.329562 t=1160
xie de shi sha 	寫的是啥	c=1 d=1 t=904
xie zai 	寫在	c=1 d=1 t=874
xin de 	新的	c=1 d=1 t=1163
xin gou 	新購	c=4 d=2.91811 t=372
xin ku 	辛苦	c=0 d=0.1 t=1626
xin wen 	新聞	c=0 d=0.1 t=680
xin xi 	信息	c=3 d=0.201371 t=1112
xing 	行	c=0 d=0.1 t=1491
xing ming 	姓名	c=1 d=1 t=615
xiong di 	兄弟	c=3 d=2.97025 t=821
xiu xi 	休息	c=0 d=0.198511 t=1394
xiu xi le 	休息了	c=1 d=1 t=1392
xu fei 	續費	c=3 d=2.45277 t=373
xu lie hao 	序列號	c=1 d=1 t=210
xu ni 	虛擬	c=0 d=0.1 t=1528
xu ni ding wei 	虛擬定位	c=1 d=1 t=1529
xu qiu 	需求	c=0 d=0.1 t=1065
xu yao 	需要	c=2 d=0.57096 t=1417
xuan gou 	選購	c=1 d=1 t=151
xue dao 	學到	c=0 d=0.1 t=1511
xue dao le 	學到了	c=1 d=1 t=1512
xue fei 	學費	c=1 d=1 t=1378
xue hui 	學會	c=1 d=1 t=1073
xue tang 	血糖	c=1 d=1 t=560
xue yuan 	學員	c=1 d=1 t=83
ya de 	壓得	c=0 d=0.1 t=521
ya de ba 	壓得吧	c=1 d=1 t=522
yan de 	演的	c=0 d=0.1 t=700
yan de you dian 	演的有點	c=1 d=1 t=701
yan fa 	研發	c=2 d=1.93239 t=1576
yan zhong 	嚴重	c=0 d=0.1 t=495
yang 	樣	c=1 d=1 t=605
yang ben 	樣本	c=1 d=1.04649 t=1832
yang ben shou fei 	樣本收費	c=1 d=1 t=1833
yang shi 	樣式	c=0 d=0.1 t=1424
yao 	要	c=1 d=1.00448 t=665
yao bu yao 	要不要	c=1 d=1 t=1343
yao bu zan lia 	要不咱倆	c=1 d=1 t=45
yao qing 	要請	c=0 d=0.1 t=137
yao shi 	要是	c=1 d=1.00266 t=1437
yao shi zhao 	要是找	c=1 d=1 t=713
ye 	也	c=0 d=0.362558 t=1588
ye bu 	也不	c=0 d=0.1 t=1256
ye bu xu yao 	也不需要	c=1 d=1 t=1418
ye bu zen me chong qi 	也不怎麼重啓	c=1 d=1 t=1257
ye gen 	也跟	c=1 d=1 t=514
ye kan bu dong 	也看不懂	c=1 d=1 t=907
ye mei bi yao 	也沒必要	c=1 d=1 t=1585
ye mian 	頁面	c=1 d=1.09324 t=351
ye neng jie shou 	也能接受	c=1 d=1 t=1589
ye shi 	也是	c=0 d=0.104783 t=1574
ye shi ta men 	也是他們	c=1 d=1 t=967
ye shu 	頁數	c=1 d=1 t=721
ye wu xi tong 	業務系統	c=2 d=1.38868 t=332
ye xing 	也行	c=1 d=1 t=725
ye yuan 	夜愿	c=1 d=1 t=1018
yi 	一	c=1 d=1 t=119
yi 	以	c=1 d=1 t=1727
yi 	已	c=0 d=0.100029 t=1856
yi ban 	一般	c=3 d=1.1074 t=1463
yi ban dou 	一般都	c=1 d=1 t=1186
yi ban xiang ni zhe zhong qing kuang 	一般像你這種情況	c=1 d=1 t=1167
yi bu 	一部	c=0 d=0.1 t=702
yi ci 	一次	c=2 d=0.53522 t=1587
yi ci mai duan 	一次買斷	c=1 d=1 t=222
yi da ti 	已答題	c=1 d=1 t=1857
yi dui 	一堆	c=1 d=1.04025 t=893
yi dui jiu xing le 	一堆就行了	c=1 d=1 t=712
yi fen 	一份	c=1 d=0.107013 t=1852
yi ge 	一個	c=6 d=2.7771 t=1646
yi ge ruan jian 	一個軟件	c=1 d=1 t=887
yi ge shi 	一個是	c=2 d=1.99005 t=1454
yi jing 	已經	c=4 d=1.99798 t=1106
yi kai shi 	一開始	c=1 d=1 t=1269
yi kan 	一看	c=1 d=1 t=838
yi nian 	一年	c=1 d=1 t=1807
yi ping 	一瓶	c=0 d=0.1 t=575
yi ping zi shui 	一瓶子水	c=1 d=1 t=576
yi qi 	一起	c=1 d=1.00725 t=1611
yi qi kan yi xia 	一起看一下	c=1 d=1 t=51
yi qian 	以前	c=1 d=0.581909 t=645
yi shang 	以上	c=0 d=0.1 t=647
yi shang wu 	一上午	c=1 d=1 t=585
yi tai 	一臺	c=0 d=0.1 t=1077
yi wan 	一萬	c=0 d=0.1 t=1803
yi wan tiao 	一萬條	c=4 d=3.92116 t=1811
yi wu 	義務	c=1 d=1 t=969
yi xia 	一下	c=1 d=0.117056 t=1488
yi xie 	一些	c=1 d=1 t=1554
yi yang 	一樣	c=0 d=0.105502 t=1226
yi yang ba 	一樣吧	c=1 d=1 t=647
yi yang yong 	一樣用	c=1 d=1 t=1227
yi yue 	一月	c=1 d=1 t=1810
yi zhi fu 	已支付	c=1 d=1 t=228
yi zhou 	一週	c=0 d=0.1 t=1587
yi zhou yi ci 	一週一次	c=1 d=1 t=1588
yin 	陰	c=0 d=0.1 t=595
yin cang 	隱藏	c=2 d=1.96561 t=1684
yin wei 	因爲	c=6 d=3.35892 t=1306
yin yue 	音樂	c=1 d=1 t=1028
ying 	應	c=1 d=1 t=316
ying gai 	應該	c=2 d=0.283971 t=1491
ying gai shi 	應該是	c=1 d=1 t=739
ying gai xing ba 	應該行吧	c=1 d=1 t=1492
ying wen 	英文	c=1 d=1 t=1710
ying xiang 	影響	c=1 d=1 t=1320
ying yong 	應用	c=2 d=1.37344 t=276
ying yong cheng xu 	應用程序	c=1 d=1 t=179
ying yong xi tong 	應用系統	c=1 d=1 t=249
yong 	用	c=5 d=1.95281 t=1226
yong de 	用的	c=3 d=2.53627 t=1166
yong hu 	用戶	c=5 d=2.25583 t=1864
yong yu 	用於	c=2 d=1.97045 t=286
you 	又	c=1 d=1 t=697
you 	有	c=2 d=1.70509 t=1561
you 	由	c=1 d=1 t=211
you chou 	有仇	c=0 d=0.1 t=1244
you de fu wu 	有的服務	c=2 d=1.97531 t=273
you dian 	有點	c=1 d=1.07558 t=756
you er yuan 	幼兒園	c=2 d=1.84366 t=1381
you gei 	又給	c=1 d=1 t=1791
you hui quan 	優惠券	c=1 d=1 t=1469
you kong 	有空	c=0 d=0.1 t=1040
you kong de shi hou 	有空的時候	c=1 d=1 t=1041
you lai 	又來	c=1 d=1 t=1845
you le qian 	有了錢	c=1 d=1 t=1510
you mei you 	有沒有	c=1 d=1 t=760
you na me hao chi ma 	有那麼好喫嗎	c=1 d=1 t=1071
you xiao 	有效	c=1 d=1.09656 t=307
you xiao jie zhi shi jian 	有效截止時間	c=1 d=1 t=301
you xiao qi 	有效期	c=2 d=1.57121 t=415
you yi ci 	有一次	c=1 d=1 t=1263
yu lu 	語錄	c=0 d=0.1 t=978
yu ming 	域名	c=2 d=1.92774 t=1104
yuan 	元	c=1 d=1 t=469
yuan 	袁	c=0 d=0.1 t=112
yuan bing bing 	袁冰冰	c=1 d=1 t=113
yuan cheng 	遠程	c=3 d=0.131142 t=1531
yuan cheng da ka 	遠程打卡	c=1 d=1 t=1532
yuan cheng diao yong 	远程调用	c=1 d=1 t=459
yuan cheng kong zhi 	遠程控制	c=1 d=1 t=848
yuan dai ma 	源代碼	c=6 d=4.33117 t=924
yuan wen jian 	源文件	c=1 d=1 t=645
yuan yi 	願意	c=0 d=0.1 t=1745
yue 	月	c=0 d=0.1 t=567
yue bing 	月餅	c=0 d=0.1 t=577
yue dui 	樂隊	c=3 d=2.93143 t=1027
yue lai yue hao 	越來越好	c=0 d=0.1 t=1581
yue lai yue hao de 	越來越好的	c=1 d=1 t=1582
yue shi 	越是	c=1 d=1.09851 t=1567
yun wei 	運維	c=1 d=1.07596 t=1302
yun xing 	運行	c=2 d=1.99005 t=886
yun ying 	運營	c=1 d=1 t=1558
za hui shi 	咋回事	c=1 d=1 t=1271
zai 	再	c=2 d=1.69768 t=1849
zai 	在	c=4 d=2.89267 t=1578
zai da 	再答	c=0 d=0.1 t=1852
zai da yi fen ti 	再答一份題	c=1 d=1 t=1853
zai jia 	在家	c=2 d=1.79852 t=1394
zai xian kan 	在線看	c=0 d=0.1 t=640
zai yi 	在意	c=0 d=0.1 t=900
zai zhe li 	在這裏	c=1 d=1 t=489
zai zhe li mian 	在這裏面	c=1 d=1 t=443
zan lia 	咱倆	c=1 d=1.09324 t=58
zan men 	咱們	c=1 d=1.056 t=1330
zan men jiu xian 	咱們就先	c=1 d=1 t=1331
zan wo 	讚我	c=0 d=0.1 t=1030
ze 	則	c=3 d=1.00153 t=1733
ze bu wei kong 	則不爲空	c=1 d=1 t=275
zen me 	怎麼	c=7 d=3.71796 t=1798
zen me cao zuo 	怎麼操作	c=1 d=1 t=66
zen me gai 	怎麼改	c=1 d=1 t=1653
zhang 	張	c=0 d=0.1 t=31
zhang hao 	帳號	c=5 d=2.57013 t=310
zhang hao suo you zhe 	張好所有者	c=1 d=1 t=32
zhang san 	張三	c=6 d=1.07308 t=1544
zhao 	找	c=1 d=1.0215 t=1188
zhao 	罩	c=0 d=0.1 t=1515
zhao chu 	找出	c=0 d=0.1 t=1274
zhao chu wen ti 	找出問題	c=1 d=1 t=1275
zhao de 	找的	c=1 d=1 t=794
zhao ji 	着急	c=0 d=0.1 t=489
zhao ji mei yong 	着急沒用	c=1 d=1 t=490
zhao mi 	着迷	c=1 d=1 t=1446
zhao ni 	找你	c=0 d=0.1 t=677
zhao pian 	照片	c=1 d=1 t=1869
zhao qi lai 	罩起來	c=1 d=1 t=1516
zhao zhao 	找找	c=1 d=1 t=758
zhe 	着	c=0 d=0.1 t=514
zhe 	這	c=1 d=1.07824 t=516
zhe ge 	這個	c=14 d=0.543594 t=1872
zhe jiu hen gan ga 	着就很尷尬	c=1 d=1 t=515
zhe kou 	折扣	c=1 d=1 t=1460
zhe li 	這裏	c=0 d=0.1 t=1141
zhe li ma 	這裏嗎	c=1 d=1 t=1142
zhe lia 	這倆	c=1 d=1 t=1462
zhe me 	這麼	c=0 d=0.138098 t=877
zhe me da 	這麼大	c=0 d=0.1 t=1304
zhe me da chou hen ma 	這麼大仇恨嗎	c=1 d=1 t=1305
zhe me gen ni shuo ba 	這麼跟你說吧	c=1 d=1 t=878
zhe shi 	這是	c=1 d=1 t=1318
zhe shi er 	這事兒	c=1 d=1 t=960
zhe xie 	這些	c=0 d=0.1 t=1435
zhe xie hua 	這些花	c=1 d=1 t=1436
zhe yang 	這樣	c=1 d=1 t=640
zhe zhong 	這種	c=1 d=1 t=1822
zhe zhong qing kuang 	這種情況	c=0 d=0.1 t=1166
zhe zhong shi 	這種事	c=1 d=1 t=727
zhe zhou 	這週	c=2 d=1.89137 t=1387
zhen 	真	c=0 d=0.1 t=1745
zhen de jia de 	真的假的	c=2 d=1.13946 t=1070
zhen kuai 	真快	c=0 d=0.1 t=1686
zhen ma fan 	真麻煩	c=1 d=1 t=532
zheng chang 	正常	c=0 d=0.1 t=123
zheng ge 	整個	c=0 d=0.1 t=1547
zheng ge tian jin 	整個天津	c=1 d=1 t=1548
zheng zai 	正在	c=0 d=0.1 t=993
zheng zai chu li 	正在處理	c=1 d=1 t=994
zhi 	只	c=2 d=1.00081 t=1670
zhi chi 	支持	c=1 d=1 t=1631
zhi dao 	知道	c=0 d=0.0980199 t=1872
zhi di 	置地	c=1 d=1 t=81
zhi ding 	指定	c=1 d=0.783861 t=1205
zhi fu 	支付	c=7 d=0.123595 t=1454
zhi fu cheng gong 	支付成功	c=3 d=2.56128 t=182
zhi fu er wei ma 	支付二維碼	c=1 d=1 t=170
zhi fu fang shi 	支付方式	c=2 d=1.31037 t=478
zhi fu jin e 	支付金額	c=1 d=1 t=468
zhi fu shi bai 	支付失败	c=1 d=1 t=485
zhi fu zhuang tai 	支付狀態	c=1 d=1 t=227
zhi jie 	直接	c=5 d=2.28258 t=1286
zhi ming you huo 	致命诱惑	c=1 d=1 t=1029
zhi qian 	之前	c=3 d=1.94785 t=1830
zhi wei 	職位	c=1 d=1 t=1556
zhi xu yao 	只需要	c=1 d=1 t=851
zhi yao 	只要	c=1 d=1 t=1250
zhi you 	只有	c=1 d=0.29205 t=1479
zhi you jing xia 	只有驚嚇	c=1 d=1 t=1480
zhong 	中	c=2 d=1.07523 t=856
zhong jie 	中介	c=1 d=1 t=714
zhong wu 	中午	c=1 d=1 t=1308
zhong yao 	重要	c=2 d=1.99501 t=1045
zhu 	著	c=0 d=0.1 t=704
zhu shou 	助手	c=0 d=0.1 t=1542
zhu yao 	主要	c=0 d=0.1 t=860
zhu yao shi 	主要是	c=1 d=1 t=971
zhu yi 	注意	c=0 d=0.1 t=126
zhu yi yi xia 	注意一下	c=1 d=1 t=127
zhua qi lai 	抓起來	c=0 d=0.1 t=1279
zhua qi lai le 	抓起來了	c=1 d=1 t=1280
zhuan ye ban 	專業版	c=2 d=2.04019 t=414
zhuan ye ban tao can 	專業版套餐	c=1 d=1 t=402
zhuang 	裝	c=0 d=0.1 t=1539
zhuang le 	裝了	c=1 d=1 t=824
zhuang si 	撞死	c=0 d=0.1 t=1429
zhuang si le 	撞死了	c=1 d=1 t=1430
zhuang tai 	狀態	c=0 d=0.256945 t=226
zhuang yi ge 	裝一個	c=2 d=1.99005 t=1542
zhun bei 	準備	c=1 d=1 t=573
zi 	子	c=0 d=0.1 t=575
zi chan 	資產	c=1 d=1 t=1179
zi ding yi 	自定義	c=0 d=0.1 t=1638
zi ding yi ti mu 	自定義題目	c=1 d=1 t=1639
zi duan 	字段	c=4 d=0.446346 t=1035
zi duan lei xing 	字段類型	c=2 d=1.956 t=563
zi duan ming cheng 	字段名稱	c=1 d=1 t=557
zi ji 	自己	c=5 d=1.01572 t=1816
zi ji ban 	自己辦	c=2 d=1.99005 t=594
zong 	總	c=1 d=1.09418 t=243
zong bu neng 	總不能	c=0 d=0.1 t=598
zong bu neng tian tian chi tu ba 	總不能天天吃土吧	c=1 d=1 t=599
zong fei yong 	總費用	c=2 d=1.91393 t=1471
zong jia ge 	總價格	c=1 d=1 t=232
zong jie 	總結	c=0 d=0.1 t=1488
zong jie yi xia 	總結一下	c=1 d=1 t=1489
zong shi 	總是	c=1 d=1 t=1341
zou guo 	走過	c=0 d=0.1 t=1492
zou le 	走了	c=1 d=1.09324 t=698
zu hu 	租戶	c=3 d=2.76178 t=325
zui hou 	最後	c=1 d=1 t=1274
zui jin 	最近	c=1 d=1 t=789
zui jin de 	最近的	c=1 d=1 t=1490
zui xin 	最新	c=2 d=1.82755 t=1728
zui xin de 	最新的	c=1 d=1 t=1672
zui xin de yi bu 	最新的一部	c=1 d=1 t=703
zuo 	做	c=0 d=0.1 t=1288
zuo dao 	做到	c=1 d=1 t=1531
zuo de shou jiao 	做的手腳	c=1 d=1 t=1289
zuo hao 	做好	c=1 d=1.03239 t=1106
zuo hao le ma 	做好了嗎	c=1 d=1 t=1107
zuo le 	做了	c=1 d=1 t=868
zuo qi lai 	做起來	c=1 d=1 t=1828
zuo shou jiao 	做手腳	c=1 d=1 t=1273
zuo you 	左右	c=1 d=1 t=858
zuo zuo mu fei shi 	佐佐木绯世	c=1 d=1 t=116
